#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0002863	specific	fuzzy	15	0.87
OG0002866	specific	fuzzy	15	0.87
OG0002868	specific	fuzzy	15	0.87
OG0002869	specific	fuzzy	15	0.87
OG0002871	specific	fuzzy	15	0.93
OG0002873	specific	fuzzy	15	0.87
OG0002874	specific	fuzzy	15	0.87
OG0002877	specific	fuzzy	15	0.87
OG0002883	specific	fuzzy	15	0.93
OG0002884	specific	fuzzy	15	0.87
OG0002887	specific	fuzzy	15	0.87
OG0002888	specific	fuzzy	15	0.87
OG0002889	specific	fuzzy	15	0.93
OG0002890	specific	fuzzy	15	0.87
OG0002891	specific	fuzzy	15	0.93
OG0002893	specific	fuzzy	15	0.87
OG0002894	specific	fuzzy	15	0.87
OG0002895	specific	fuzzy	15	0.87
OG0002896	specific	fuzzy	15	0.87
OG0002897	specific	fuzzy	15	0.93
OG0002898	specific	fuzzy	15	0.87
OG0002900	specific	fuzzy	15	0.87
OG0002901	specific	fuzzy	15	0.93
OG0002903	specific	fuzzy	15	0.87
OG0002905	specific	fuzzy	15	0.87
OG0002906	specific	fuzzy	15	0.87
OG0002909	specific	fuzzy	15	0.87
OG0002910	specific	fuzzy	15	0.87
OG0002911	specific	fuzzy	15	0.87
OG0002912	specific	fuzzy	15	0.87
OG0002913	specific	fuzzy	15	0.87
OG0002915	specific	fuzzy	15	0.87
OG0002916	specific	fuzzy	15	0.93
OG0002917	specific	fuzzy	15	0.87
OG0002920	specific	fuzzy	15	0.87
OG0002921	specific	fuzzy	15	0.87
OG0002923	specific	fuzzy	14	0.93
OG0002924	specific	fuzzy	15	0.87
OG0002925	specific	fuzzy	15	0.87
OG0002926	specific	fuzzy	14	0.93
OG0002927	specific	fuzzy	15	0.87
OG0002930	specific	fuzzy	15	0.87
OG0002931	specific	fuzzy	15	0.87
OG0002932	specific	fuzzy	15	0.87
OG0002933	specific	fuzzy	15	0.87
OG0002934	specific	fuzzy	15	0.87
OG0002937	specific	fuzzy	15	0.93
OG0002938	specific	fuzzy	15	0.87
OG0002939	specific	fuzzy	15	0.87
OG0002941	specific	fuzzy	15	0.93
OG0002942	specific	fuzzy	15	0.87
OG0002943	specific	fuzzy	15	0.93
OG0002944	specific	fuzzy	15	0.93
OG0002946	specific	fuzzy	15	0.87
OG0002948	specific	fuzzy	15	0.87
OG0002952	specific	fuzzy	15	0.93
OG0002955	specific	fuzzy	15	0.87
OG0002956	specific	fuzzy	15	0.87
OG0002957	specific	fuzzy	15	0.93
OG0002958	specific	fuzzy	15	0.87
OG0002961	specific	fuzzy	15	0.87
OG0002963	specific	fuzzy	15	0.87
OG0002966	specific	fuzzy	15	0.87
OG0002967	specific	fuzzy	15	0.87
OG0002968	specific	fuzzy	15	0.87
OG0002969	specific	fuzzy	15	0.87
OG0002971	specific	fuzzy	15	0.87
OG0002975	specific	fuzzy	15	0.87
OG0002976	specific	fuzzy	15	0.93
OG0002977	specific	fuzzy	15	0.93
OG0002978	specific	fuzzy	15	0.87
OG0002979	specific	fuzzy	15	0.87
OG0002980	specific	fuzzy	15	0.87
OG0002981	specific	fuzzy	15	0.87
OG0002982	specific	fuzzy	15	0.87
OG0002983	specific	fuzzy	15	0.87
OG0002985	specific	fuzzy	15	0.87
OG0002986	specific	fuzzy	15	0.87
OG0002987	specific	fuzzy	15	0.87
OG0002993	specific	fuzzy	15	0.87
OG0002994	specific	fuzzy	15	0.93
OG0002995	specific	fuzzy	15	0.87
OG0002998	specific	fuzzy	15	0.87
OG0003000	specific	fuzzy	15	0.87
OG0003001	specific	fuzzy	15	0.87
OG0003002	specific	fuzzy	15	0.87
OG0003003	specific	fuzzy	15	0.87
OG0003006	specific	fuzzy	15	0.87
OG0003008	specific	fuzzy	14	0.93
OG0003009	specific	fuzzy	15	0.87
OG0003010	specific	fuzzy	15	0.93
OG0003012	specific	fuzzy	15	0.87
OG0003013	specific	fuzzy	14	0.93
OG0003014	specific	fuzzy	15	0.87
OG0003015	specific	fuzzy	15	0.87
OG0003016	specific	fuzzy	15	0.87
OG0003017	specific	fuzzy	15	0.93
OG0003019	specific	fuzzy	15	0.93
OG0003021	specific	fuzzy	15	0.93
OG0003022	specific	fuzzy	15	0.87
OG0003024	specific	fuzzy	15	0.93
OG0003026	specific	fuzzy	14	0.93
OG0003027	specific	fuzzy	15	0.87
OG0003028	specific	fuzzy	15	0.93
OG0003029	specific	fuzzy	15	0.87
OG0003030	specific	fuzzy	15	0.87
OG0003031	specific	fuzzy	15	0.87
OG0003032	specific	fuzzy	15	0.93
OG0003036	specific	fuzzy	15	0.87
OG0003037	specific	fuzzy	15	0.87
OG0003038	specific	fuzzy	15	0.93
OG0003039	specific	fuzzy	15	0.87
OG0003040	specific	fuzzy	15	0.87
OG0003041	specific	fuzzy	15	0.87
OG0003042	specific	fuzzy	15	0.87
OG0003043	specific	fuzzy	15	0.87
OG0003044	specific	fuzzy	15	0.93
OG0003045	specific	fuzzy	15	0.87
OG0003046	specific	fuzzy	14	0.93
OG0003049	specific	fuzzy	14	0.93
OG0003050	specific	fuzzy	15	0.87
OG0003052	specific	fuzzy	15	0.87
OG0003054	specific	fuzzy	15	0.87
OG0003056	specific	fuzzy	15	0.87
OG0003057	specific	fuzzy	15	0.87
OG0003058	specific	fuzzy	15	0.87
OG0003059	specific	fuzzy	15	0.87
OG0003060	specific	fuzzy	15	0.87
OG0003064	specific	fuzzy	15	0.87
OG0003066	specific	fuzzy	15	0.87
OG0003071	specific	fuzzy	15	0.87
OG0003072	specific	fuzzy	15	0.87
OG0003073	specific	fuzzy	15	0.93
OG0003076	specific	fuzzy	15	0.87
OG0003077	specific	fuzzy	15	0.87
OG0003078	specific	fuzzy	15	0.87
OG0003079	specific	fuzzy	15	0.87
OG0003080	specific	fuzzy	15	0.87
OG0003082	specific	fuzzy	15	0.87
OG0003083	specific	fuzzy	15	0.87
OG0003085	specific	fuzzy	15	0.87
OG0003086	specific	fuzzy	15	0.93
OG0003087	specific	fuzzy	15	0.87
OG0003088	specific	fuzzy	15	0.87
OG0003089	specific	fuzzy	15	0.87
OG0003092	specific	fuzzy	14	0.93
OG0003093	specific	fuzzy	15	0.87
OG0003095	specific	fuzzy	15	0.87
OG0003096	specific	fuzzy	15	0.87
OG0003099	specific	fuzzy	14	0.93
OG0003102	specific	fuzzy	15	0.93
OG0003103	specific	fuzzy	15	0.87
OG0003106	specific	fuzzy	15	0.87
OG0003109	specific	fuzzy	15	0.87
OG0003111	specific	fuzzy	15	0.87
OG0003112	specific	fuzzy	15	0.93
OG0003115	specific	fuzzy	15	0.87
OG0003116	specific	fuzzy	15	0.87
OG0003117	specific	fuzzy	15	0.87
OG0003118	specific	fuzzy	15	0.87
OG0003119	specific	fuzzy	15	0.87
OG0003122	specific	fuzzy	15	0.93
OG0003124	specific	fuzzy	15	0.87
OG0003125	specific	fuzzy	15	0.93
OG0003126	specific	fuzzy	15	0.87
OG0003127	specific	fuzzy	15	0.93
OG0003128	specific	fuzzy	15	0.87
OG0003129	specific	fuzzy	15	0.93
OG0003130	specific	fuzzy	15	0.87
OG0003136	specific	fuzzy	15	0.87
OG0003139	specific	fuzzy	14	0.93
OG0003140	specific	fuzzy	15	0.87
OG0003141	specific	fuzzy	15	0.87
OG0003142	specific	fuzzy	15	0.87
OG0003143	specific	fuzzy	15	0.87
OG0003144	specific	fuzzy	15	0.87
OG0003145	specific	fuzzy	15	0.87
OG0003147	specific	fuzzy	15	0.87
OG0003151	specific	fuzzy	15	0.87
OG0003152	specific	fuzzy	15	0.87
OG0003154	specific	fuzzy	15	0.87
OG0003155	specific	fuzzy	15	0.87
OG0003156	specific	fuzzy	15	0.87
OG0003157	specific	fuzzy	15	0.87
OG0003158	specific	fuzzy	15	0.87
OG0003159	specific	fuzzy	15	0.93
OG0003160	specific	fuzzy	15	0.87
OG0003161	specific	fuzzy	15	0.93
OG0003164	specific	fuzzy	15	0.87
OG0003166	specific	fuzzy	15	0.87
OG0003168	specific	fuzzy	15	0.87
OG0003169	specific	fuzzy	15	0.87
OG0003170	specific	fuzzy	15	0.93
OG0003171	specific	fuzzy	15	0.87
OG0003177	specific	fuzzy	15	0.87
OG0003178	specific	fuzzy	15	0.93
OG0003179	specific	fuzzy	15	0.87
OG0003180	specific	fuzzy	15	0.87
OG0003182	specific	fuzzy	15	0.93
OG0003183	specific	fuzzy	15	0.87
OG0003184	specific	fuzzy	15	0.93
OG0003185	specific	fuzzy	15	0.93
OG0003186	specific	fuzzy	15	0.87
OG0003187	specific	fuzzy	15	0.87
OG0003188	specific	fuzzy	14	0.93
OG0003189	specific	fuzzy	15	0.87
OG0003190	specific	fuzzy	15	0.87
OG0003191	specific	fuzzy	14	0.93
OG0003192	specific	fuzzy	15	0.87
OG0003194	specific	fuzzy	15	0.87
OG0003195	specific	fuzzy	15	0.87
OG0003196	specific	fuzzy	15	0.87
OG0003197	specific	fuzzy	15	0.87
OG0003198	specific	fuzzy	15	0.93
OG0003199	specific	fuzzy	15	0.87
OG0003200	specific	fuzzy	15	0.87
OG0003204	specific	fuzzy	14	0.93
OG0003206	specific	fuzzy	14	0.93
OG0003210	specific	fuzzy	15	0.87
OG0003211	specific	fuzzy	15	0.87
OG0003212	specific	fuzzy	15	0.87
OG0003213	specific	fuzzy	15	0.93
OG0003214	specific	fuzzy	15	0.87
OG0003215	specific	fuzzy	15	0.87
OG0003216	specific	fuzzy	15	0.87
OG0003220	specific	fuzzy	15	0.87
OG0003222	specific	fuzzy	15	0.87
OG0003223	specific	fuzzy	15	0.87
OG0003224	specific	fuzzy	15	0.87
OG0003226	specific	fuzzy	15	0.87
OG0003230	specific	fuzzy	15	0.87
OG0003231	specific	fuzzy	15	0.87
OG0003232	specific	fuzzy	14	0.93
OG0003233	specific	fuzzy	15	0.87
OG0003234	specific	fuzzy	15	0.87
OG0003235	specific	fuzzy	15	0.87
OG0003237	specific	fuzzy	15	0.87
OG0003240	specific	fuzzy	15	0.87
OG0003243	specific	fuzzy	15	0.93
OG0003244	specific	fuzzy	15	0.87
OG0003248	specific	fuzzy	15	0.87
OG0003249	specific	fuzzy	15	0.93
OG0003250	specific	fuzzy	15	0.93
OG0003251	specific	fuzzy	15	0.87
OG0003252	specific	fuzzy	14	0.93
OG0003255	specific	fuzzy	15	0.87
OG0003258	specific	fuzzy	15	0.87
OG0003259	specific	fuzzy	15	0.87
OG0003261	specific	fuzzy	15	0.87
OG0003262	specific	fuzzy	15	0.87
OG0003263	specific	fuzzy	15	0.87
OG0003264	specific	fuzzy	15	0.93
OG0003267	specific	fuzzy	15	0.87
OG0003268	specific	fuzzy	15	0.93
OG0003269	specific	fuzzy	15	0.87
OG0003271	specific	fuzzy	15	0.87
OG0003273	specific	fuzzy	14	0.93
OG0003274	specific	fuzzy	15	0.87
OG0003275	specific	fuzzy	15	0.93
OG0003277	specific	fuzzy	15	0.87
OG0003278	specific	fuzzy	14	0.93
OG0003281	specific	fuzzy	15	0.93
OG0003282	specific	fuzzy	15	0.87
OG0003284	specific	fuzzy	15	0.87
OG0003285	specific	fuzzy	15	0.87
OG0003286	specific	fuzzy	15	0.93
OG0003287	specific	fuzzy	15	0.93
OG0003288	specific	fuzzy	15	0.87
OG0003289	specific	fuzzy	15	0.87
OG0003291	specific	fuzzy	15	0.93
OG0003293	specific	fuzzy	15	0.87
OG0003294	specific	fuzzy	15	0.87
OG0003295	specific	fuzzy	15	0.93
OG0003296	specific	fuzzy	15	0.87
OG0003297	specific	fuzzy	15	0.87
OG0003298	specific	fuzzy	15	0.93
OG0003299	specific	fuzzy	15	0.87
OG0003301	specific	fuzzy	15	0.87
OG0003304	specific	fuzzy	15	0.87
OG0003305	specific	fuzzy	15	0.87
OG0003309	specific	fuzzy	15	0.87
OG0003310	specific	fuzzy	15	0.87
OG0003311	specific	fuzzy	15	0.87
OG0003312	specific	fuzzy	15	0.87
OG0003313	specific	fuzzy	15	0.93
OG0003314	specific	fuzzy	15	0.87
OG0003319	specific	fuzzy	15	0.87
OG0003322	specific	fuzzy	15	0.93
OG0003324	specific	fuzzy	15	0.87
OG0003328	specific	fuzzy	15	0.87
OG0003329	specific	fuzzy	15	0.87
OG0003331	specific	fuzzy	15	0.87
OG0003333	specific	fuzzy	15	0.87
OG0003336	specific	fuzzy	15	0.87
OG0003337	specific	fuzzy	15	0.87
OG0003339	specific	fuzzy	15	0.87
OG0003343	specific	fuzzy	15	0.87
OG0003344	specific	fuzzy	15	0.87
OG0003346	specific	fuzzy	15	0.87
OG0003347	specific	fuzzy	15	0.87
OG0003348	specific	fuzzy	15	0.87
OG0003351	specific	fuzzy	15	0.87
OG0003353	specific	fuzzy	15	0.87
OG0003356	specific	fuzzy	15	0.87
OG0003358	specific	fuzzy	15	0.87
OG0003361	specific	fuzzy	15	0.87
OG0003362	specific	fuzzy	15	0.87
OG0003364	specific	fuzzy	15	0.87
OG0003366	specific	fuzzy	15	0.93
OG0003367	specific	fuzzy	15	0.87
OG0003368	specific	fuzzy	15	0.87
OG0003369	specific	fuzzy	15	0.87
OG0003373	specific	fuzzy	15	0.87
OG0003375	specific	fuzzy	15	0.87
OG0003376	specific	fuzzy	15	0.87
OG0003377	specific	fuzzy	15	0.93
OG0003394	specific	fuzzy	14	0.93
OG0003416	specific	fuzzy	14	0.93
OG0003488	specific	fuzzy	15	0.93
OG0003489	specific	fuzzy	15	0.93
OG0003490	specific	fuzzy	15	0.93
OG0003493	specific	fuzzy	15	0.93
OG0003495	specific	fuzzy	15	0.93
OG0003496	specific	fuzzy	15	0.93
OG0003497	specific	fuzzy	15	0.93
OG0003498	specific	fuzzy	15	0.93
OG0003499	specific	fuzzy	15	0.93
OG0003500	specific	fuzzy	14	0.93
OG0003502	specific	fuzzy	15	0.93
OG0003503	specific	fuzzy	15	0.93
OG0003505	specific	fuzzy	15	0.93
OG0003507	specific	fuzzy	15	0.93
OG0003509	specific	fuzzy	15	0.93
OG0003511	specific	fuzzy	15	0.93
OG0003512	specific	fuzzy	15	0.93
OG0003513	specific	fuzzy	15	0.93
OG0003515	specific	fuzzy	15	0.93
OG0003516	specific	fuzzy	15	0.93
OG0003518	specific	fuzzy	15	0.93
OG0003520	specific	fuzzy	15	0.93
OG0003521	specific	fuzzy	15	0.93
OG0003522	specific	fuzzy	15	0.93
OG0003527	specific	fuzzy	15	0.93
OG0003528	specific	fuzzy	15	0.93
OG0003530	specific	fuzzy	15	0.93
OG0003532	specific	fuzzy	15	0.93
OG0003534	specific	fuzzy	15	0.93
OG0003535	specific	fuzzy	15	0.93
OG0003536	specific	fuzzy	15	0.93
OG0003538	specific	fuzzy	15	0.93
OG0003539	specific	fuzzy	15	0.93
OG0003540	specific	fuzzy	15	0.93
OG0003541	specific	fuzzy	15	0.93
OG0003542	specific	fuzzy	15	0.93
OG0003544	specific	fuzzy	15	0.93
OG0003545	specific	fuzzy	15	0.93
OG0003546	specific	fuzzy	15	0.93
OG0003547	specific	fuzzy	15	0.93
OG0003548	specific	fuzzy	15	0.93
OG0003549	specific	fuzzy	15	0.93
OG0003550	specific	fuzzy	15	0.93
OG0003551	specific	fuzzy	15	0.93
OG0003552	specific	fuzzy	15	0.93
OG0003553	specific	fuzzy	14	0.93
OG0003554	specific	fuzzy	15	0.93
OG0003555	specific	fuzzy	15	0.93
OG0003556	specific	fuzzy	15	0.93
OG0003558	specific	fuzzy	15	0.93
OG0003559	specific	fuzzy	15	0.93
OG0003561	specific	fuzzy	15	0.93
OG0003562	specific	fuzzy	15	0.93
OG0003563	specific	fuzzy	15	0.93
OG0003564	specific	fuzzy	15	0.93
OG0003568	specific	fuzzy	15	0.93
OG0003569	specific	fuzzy	15	0.93
OG0003570	specific	fuzzy	15	0.93
OG0003571	specific	fuzzy	15	0.93
OG0003574	specific	fuzzy	15	0.93
OG0003575	specific	fuzzy	15	0.93
OG0003576	specific	fuzzy	15	0.93
OG0003578	specific	fuzzy	15	0.93
OG0003579	specific	fuzzy	15	0.93
OG0003580	specific	fuzzy	15	0.93
OG0003581	specific	fuzzy	15	0.93
OG0003582	specific	fuzzy	15	0.93
OG0003583	specific	fuzzy	15	0.93
OG0003584	specific	fuzzy	15	0.93
OG0003586	specific	fuzzy	15	0.93
OG0003588	specific	fuzzy	15	0.93
OG0003589	specific	fuzzy	15	0.93
OG0003590	specific	fuzzy	14	0.93
OG0003591	specific	fuzzy	15	0.93
OG0003594	specific	fuzzy	15	0.93
OG0003595	specific	fuzzy	14	0.93
OG0003596	specific	fuzzy	15	0.93
OG0003597	specific	fuzzy	14	0.93
OG0003599	specific	fuzzy	15	0.93
OG0003601	specific	fuzzy	15	0.93
OG0003602	specific	fuzzy	15	0.93
OG0003603	specific	fuzzy	15	0.93
OG0003612	specific	fuzzy	15	0.93
OG0003613	specific	fuzzy	15	0.93
OG0003614	specific	fuzzy	15	0.93
OG0003615	specific	fuzzy	15	0.93
OG0003616	specific	fuzzy	15	0.93
OG0003617	specific	fuzzy	15	0.93
OG0003618	specific	fuzzy	15	0.93
OG0003619	specific	fuzzy	15	0.93
OG0003621	specific	fuzzy	15	0.93
OG0003622	specific	fuzzy	15	0.93
OG0003623	specific	fuzzy	15	0.93
OG0003624	specific	fuzzy	15	0.93
OG0003625	specific	fuzzy	15	0.93
OG0003626	specific	fuzzy	15	0.93
OG0003627	specific	fuzzy	15	0.93
OG0003628	specific	fuzzy	15	0.93
OG0003630	specific	fuzzy	15	0.93
OG0003631	specific	fuzzy	15	0.93
OG0003633	specific	fuzzy	15	0.93
OG0003634	specific	fuzzy	15	0.93
OG0003636	specific	fuzzy	15	0.93
OG0003637	specific	fuzzy	15	0.93
OG0003639	specific	fuzzy	15	0.93
OG0003640	specific	fuzzy	15	0.93
OG0003641	specific	fuzzy	14	0.93
OG0003643	specific	fuzzy	15	0.93
OG0003644	specific	fuzzy	14	0.93
OG0003645	specific	fuzzy	15	0.93
OG0003648	specific	fuzzy	14	0.93
OG0003649	specific	fuzzy	15	0.93
OG0003650	specific	fuzzy	15	0.93
OG0003651	specific	fuzzy	15	0.93
OG0003652	specific	fuzzy	15	0.93
OG0003653	specific	fuzzy	15	0.93
OG0003656	specific	fuzzy	15	0.93
OG0003658	specific	fuzzy	15	0.93
OG0003659	specific	fuzzy	15	0.93
OG0003660	specific	fuzzy	15	0.93
OG0003661	specific	fuzzy	15	0.93
OG0003662	specific	fuzzy	15	0.93
OG0003663	specific	fuzzy	15	0.93
OG0003664	specific	fuzzy	15	0.93
OG0003665	specific	fuzzy	14	0.93
OG0003666	specific	fuzzy	15	0.93
OG0003667	specific	fuzzy	14	0.93
OG0003670	specific	fuzzy	15	0.93
OG0003672	specific	fuzzy	15	0.93
OG0003673	specific	fuzzy	15	0.93
OG0003674	specific	fuzzy	15	0.93
OG0003677	specific	fuzzy	15	0.93
OG0003679	specific	fuzzy	15	0.93
OG0003680	specific	fuzzy	14	0.93
OG0003681	specific	fuzzy	15	0.93
OG0003683	specific	fuzzy	15	0.93
OG0003684	specific	fuzzy	15	0.93
OG0003686	specific	fuzzy	15	0.93
OG0003687	specific	fuzzy	15	0.93
OG0003688	specific	fuzzy	15	0.93
OG0003689	specific	fuzzy	15	0.93
OG0003690	specific	fuzzy	15	0.93
OG0003691	specific	fuzzy	15	0.93
OG0003692	specific	fuzzy	15	0.93
OG0003693	specific	fuzzy	15	0.93
OG0003695	specific	fuzzy	15	0.93
OG0003696	specific	fuzzy	15	0.93
OG0003697	specific	fuzzy	15	0.93
OG0003698	specific	fuzzy	15	0.93
OG0003699	specific	fuzzy	15	0.93
OG0003700	specific	fuzzy	15	0.93
OG0003703	specific	fuzzy	15	0.93
OG0003704	specific	fuzzy	15	0.93
OG0003705	specific	fuzzy	15	0.93
OG0003706	specific	fuzzy	15	0.93
OG0003707	specific	fuzzy	15	0.93
OG0003708	specific	fuzzy	15	0.93
OG0003710	specific	fuzzy	15	0.93
OG0003711	specific	fuzzy	15	0.93
OG0003715	specific	fuzzy	15	0.93
OG0003718	specific	fuzzy	15	0.93
OG0003719	specific	fuzzy	15	0.93
OG0003720	specific	fuzzy	15	0.93
OG0003721	specific	fuzzy	15	0.93
OG0003722	specific	fuzzy	15	0.93
OG0003723	specific	fuzzy	15	0.93
OG0003725	specific	fuzzy	15	0.93
OG0003726	specific	fuzzy	15	0.93
OG0003727	specific	fuzzy	15	0.93
OG0003728	specific	fuzzy	15	0.93
OG0003729	specific	fuzzy	15	0.93
OG0003730	specific	fuzzy	15	0.93
